,pickup_date,pickup_time,borough,pickups,spd,vsb,temp,dewp,slp,pcp01,pcp06,pcp24,sd,hday
0,2015-01-01,01:00:00,Bronx,152,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
1,2015-01-01,01:00:00,Brooklyn,1519,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
2,2015-01-01,01:00:00,EWR,0,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
3,2015-01-01,01:00:00,Manhattan,5258,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
4,2015-01-01,01:00:00,Queens,405,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
5,2015-01-01,01:00:00,Staten Island,6,5.0,10.0,30.0,7.0,1023.5,0.0,0.0,0.0,0.0,Y
7,2015-01-01,02:00:00,Bronx,120,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
8,2015-01-01,02:00:00,Brooklyn,1229,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
9,2015-01-01,02:00:00,EWR,0,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
10,2015-01-01,02:00:00,Manhattan,4345,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
11,2015-01-01,02:00:00,Queens,331,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
12,2015-01-01,02:00:00,Staten Island,7,3.0,10.0,30.0,6.0,1023.0,0.0,0.0,0.0,0.0,Y
14,2015-01-01,03:00:00,Bronx,132,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
15,2015-01-01,03:00:00,Brooklyn,1601,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
16,2015-01-01,03:00:00,EWR,0,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
17,2015-01-01,03:00:00,Manhattan,4577,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
18,2015-01-01,03:00:00,Queens,440,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
19,2015-01-01,03:00:00,Staten Island,12,5.0,10.0,30.0,8.0,1022.3,0.0,0.0,0.0,0.0,Y
21,2015-01-01,04:00:00,Bronx,128,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
22,2015-01-01,04:00:00,Brooklyn,1390,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
23,2015-01-01,04:00:00,EWR,0,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
24,2015-01-01,04:00:00,Manhattan,3003,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
25,2015-01-01,04:00:00,Queens,344,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
26,2015-01-01,04:00:00,Staten Island,5,5.0,10.0,29.0,9.0,1022.0,0.0,0.0,0.0,0.0,Y
28,2015-01-01,05:00:00,Bronx,87,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
29,2015-01-01,05:00:00,Brooklyn,759,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
30,2015-01-01,05:00:00,EWR,0,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
31,2015-01-01,05:00:00,Manhattan,1313,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
32,2015-01-01,05:00:00,Queens,241,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
33,2015-01-01,05:00:00,Staten Island,3,5.0,10.0,28.0,9.0,1021.8,0.0,0.0,0.0,0.0,Y
35,2015-01-01,06:00:00,Bronx,65,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
36,2015-01-01,06:00:00,Brooklyn,457,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
37,2015-01-01,06:00:00,EWR,0,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
38,2015-01-01,06:00:00,Manhattan,672,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
39,2015-01-01,06:00:00,Queens,148,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
40,2015-01-01,06:00:00,Staten Island,0,10.0,10.0,28.0,8.0,1020.7,0.0,0.0,0.0,0.0,Y
41,2015-01-01,07:00:00,Bronx,25,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
42,2015-01-01,07:00:00,Brooklyn,270,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
43,2015-01-01,07:00:00,EWR,0,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
44,2015-01-01,07:00:00,Manhattan,431,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
45,2015-01-01,07:00:00,Queens,95,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
46,2015-01-01,07:00:00,Staten Island,0,9.0,10.0,28.0,10.0,1020.5,0.0,0.0,0.0,0.0,Y
47,2015-01-01,08:00:00,Bronx,17,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
48,2015-01-01,08:00:00,Brooklyn,165,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
49,2015-01-01,08:00:00,EWR,0,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
50,2015-01-01,08:00:00,Manhattan,329,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
51,2015-01-01,08:00:00,Queens,69,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
52,2015-01-01,08:00:00,Staten Island,0,7.0,10.0,27.0,9.0,1020.5,0.0,0.0,0.0,0.0,Y
53,2015-01-01,09:00:00,Bronx,13,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
54,2015-01-01,09:00:00,Brooklyn,149,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
55,2015-01-01,09:00:00,EWR,0,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
56,2015-01-01,09:00:00,Manhattan,319,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
57,2015-01-01,09:00:00,Queens,83,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
58,2015-01-01,09:00:00,Staten Island,1,3.0,10.0,27.0,7.0,1020.0,0.0,0.0,0.0,0.0,Y
59,2015-01-01,10:00:00,Bronx,14,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
60,2015-01-01,10:00:00,Brooklyn,120,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
61,2015-01-01,10:00:00,EWR,0,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
62,2015-01-01,10:00:00,Manhattan,420,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
63,2015-01-01,10:00:00,Queens,98,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
64,2015-01-01,10:00:00,Staten Island,1,3.0,10.0,27.0,6.0,1020.2,0.0,0.0,0.0,0.0,Y
66,2015-01-01,11:00:00,Bronx,14,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
67,2015-01-01,11:00:00,Brooklyn,180,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
68,2015-01-01,11:00:00,EWR,0,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
69,2015-01-01,11:00:00,Manhattan,586,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
70,2015-01-01,11:00:00,Queens,122,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
71,2015-01-01,11:00:00,Staten Island,1,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
72,2015-01-01,12:00:00,Bronx,12,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
73,2015-01-01,12:00:00,Brooklyn,220,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
74,2015-01-01,12:00:00,EWR,0,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
75,2015-01-01,12:00:00,Manhattan,770,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
76,2015-01-01,12:00:00,Queens,141,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
77,2015-01-01,12:00:00,Staten Island,3,3.0,10.0,27.0,7.0,1020.9,0.0,0.0,0.0,0.0,Y
79,2015-01-01,13:00:00,Bronx,18,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
80,2015-01-01,13:00:00,Brooklyn,253,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
81,2015-01-01,13:00:00,EWR,0,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
82,2015-01-01,13:00:00,Manhattan,931,7.0,10.0,27.0,7.0,1021.2,0.0,0.0,0.0,0.0,Y
